neighborhood,address,units,stories,construction,apn,block,lot,last_permit,streetview,recorder_lookup
Central Richmond,6026 California St,12,3,wood frame (5),1382050,1382,050,2024-05-29T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.784248723,-122.482395983",https://sfassessor.org/ (search APN 1382050)
Central Richmond,790 22nd Av,12,4,wood frame (5),1664025,1664,025,2018-09-04T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.772976536,-122.480815821",https://sfassessor.org/ (search APN 1664025)
Central Richmond,815 25th Av,12,3,wood frame (5),1668002,1668,002,2025-02-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773986383,-122.484623182",https://sfassessor.org/ (search APN 1668002)
Central Richmond,860 24th Av,12,4,wood frame (5),1666034,1666,034,2019-02-05T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773349009,-122.482843232",https://sfassessor.org/ (search APN 1666034)
Central Richmond,880 25th Av,12,3,wood frame (5),1667030,1667,030,2024-02-01T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.773039205,-122.483895054",https://sfassessor.org/ (search APN 1667030)
Central Richmond,885 25th Av,12,4,constr type 3,1668014,1668,014,2023-06-07T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.772995912,-122.484551262",https://sfassessor.org/ (search APN 1668014)
Central Richmond,295 19th Av,11,3,wood frame (5),1414017,1414,017,2025-10-29T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782551497,-122.478599784",https://sfassessor.org/ (search APN 1414017)
Central Richmond,441 24th Av,11,3,wood frame (5),1456006,1456,006,2024-11-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781276257,-122.484076982",https://sfassessor.org/ (search APN 1456006)
Central Richmond,100 20th Av,10,3,wood frame (5),1379034,1379,034,1985-05-14T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785750761,-122.479590916",https://sfassessor.org/ (search APN 1379034)
Central Richmond,105 21st Av,10,3,wood frame (5),1381001,1381,001,2023-04-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785687819,-122.480988656",https://sfassessor.org/ (search APN 1381001)
Central Richmond,121 19th Av,10,2,wood frame (5),1379002,1379,002,1989-11-13T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.785601681,-122.479011695",https://sfassessor.org/ (search APN 1379002)
Central Richmond,1720 Balboa St,10,2,wood frame (5),1561018,1561,018,1983-11-28T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.776864662,-122.477511465",https://sfassessor.org/ (search APN 1561018)
Central Richmond,2141 Clement St,10,2,wood frame (5),1454036,1454,036,2007-10-15T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.781887442,-122.482303531",https://sfassessor.org/ (search APN 1454036)
Central Richmond,301 18th Av,10,3,wood frame (5),1450001,1450,001,1991-12-17T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.782104056,-122.477554261",https://sfassessor.org/ (search APN 1450001)
Central Richmond,410 15th Av,10,3,wood frame (5),1530028,1530,028,1995-09-18T00:00:00.000,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=37.780314625,-122.473814712",https://sfassessor.org/ (search APN 1530028)
