company,locations_in_sf,score,in_target_hoods,naics,dbas,mailing_address,sample_addresses
Toraya Apartments,1,2,,531110,Toraya Apartments,"35 Glengarry Way, Hillsborough, 94010","Post St, San Francisco"
Trammell Crow Company LLC,1,2,,531390,Trammell Crow Company LLC,"2375 N Glenville Dr Bldg A, Richardson, 75082","101 California St Fl 44, San Francisco"
Treat St Apts LLC,1,2,Mission,531110,Treat St Apts LLC,"2521 Folsom St, San Francisco, 94110","2521 Folsom St, San Francisco"
"Tres Socios Real Estate, LLC",1,2,,531110,Jefferson At Divis Apartments,"1690 Filbert St Ste A, San Francisco, 94123","1895 Jefferson St, San Francisco"
Tri Commercial Real Estate Svc,1,2,,53,Tri Commercial Real Estate Svc,"1777 Oakland Blvd Ste 220, Walnut Creek, 94596","4 Embarcadero Ctr, San Francisco"
Trio Properties Inc,1,2,,531210,Trio Properties Inc,"1151 Taraval St, San Francisco, 94116","1151 Taraval St, San Francisco"
Trs Property Services Inc,1,2,Mission,531311,The Rental Source | Trs Properties,"2013 16th St, San Francisco, 94103","2013 16th St, San Francisco"
Tsnc Property Company LLC,1,2,,531110,3070-72 Jackson Street,"Po Box 472229, San Francisco, 94147","3070 Jackson St, San Francisco"
"Turk & Eddy Associates, L.P.",1,2,,531110,None,"201 Eddy St, San Francisco, 94102","201 Eddy St, San Francisco"
U&I Property Management LLC,1,2,,531312,U&I Property Management LLC,"659 Mangels Ave, San Francisco, 94127","500 Bryant St Unit 102, San Francisco"
Unif Management Inc,1,2,,53,Unif Management Inc,"500 Masonic Ave Ste B, San Francisco, 94117","500 Masonic Ave Ste B, San Francisco"
Union Property Capital Inc,1,2,,531312,"Union Property Capital, Inc.","101 Montgomery St # 625 Ste, San Francisco, 94104","101 Montgomery St Ste 625, San Francisco"
United Associates Invest Inc,1,2,,531311,United Associates Invest Inc,"1580 Taraval St, San Francisco, 94116","1580 Taraval St, San Francisco"
United Management Group LLC,1,2,,53,United Management Group LLC,"23 Geary St Ste 510, San Francisco, 94108","23 Geary St Ste 510, San Francisco"
"Unity Homes, Inc",1,2,,531110,Unity Homes,"220 Cashmere St, San Francisco, 94124","220 Cashmere St, San Francisco"
